OBJECTID,GEO_ID,GEO_NAME,GEO_PARENT_NAME,FIPS_CODE,B11001_001E,DP03_0052E,DP03_0053E,DP03_0054E,DP03_0055E,DP03_0056E,DP03_0057E,DP03_0058E,HOUSELT75KP_CALC,INCLT75E_CALC,Deaths as of October 19 2020,Percent_Poverty,,,,,,,,,,
1,0500000US01001,Autauga County,Alabama,1001,21115,1496,1221,2142,1671,2507,3819,2967,60.89,12856,28,31,,69.9577785,,,,,,,,
2,0500000US01003,Baldwin County,Alabama,1003,78622,4227,4078,7216,8626,10589,15144,9691,63.44,49880,67,31,,0,,,,,,,,
3,0500000US01005,Barbour County,Alabama,1005,9186,1225,822,1517,1112,1301,1317,806,79.4,7294,9,51,,,,,,,,,,
4,0500000US01007,Bibb County,Alabama,1007,6840,437,559,883,762,1028,1141,1000,70.32,4810,13,39,,Less than 25%,397,Less than 25%,50727,,3141,13%,,
5,0500000US01009,Blount County,Alabama,1009,20600,1723,1162,2346,2587,2707,4297,2461,71.95,14822,23,38,,25% - 49%,2531,25% - 49%,158666,,,81%,,
6,0500000US01011,Bullock County,Alabama,1011,3609,821,388,326,326,458,624,211,81.55,2943,17,52,,Greater than 50%,213,Greater than 50%,8123,,,7%,,
7,0500000US01013,Butler County,Alabama,1013,6708,754,616,909,709,1166,1013,723,77.03,5167,40,45,,,,,,,,,,
8,0500000US01015,Calhoun County,Alabama,1015,45033,3872,3211,5749,5008,6336,8526,5037,72.62,32702,59,40,,,,,,,,,,
9,0500000US01017,Chambers County,Alabama,1017,13516,1184,975,2314,1655,2029,2243,1535,76.95,10400,43,45,,,,,,,,,,put the percentages into the pie
10,0500000US01019,Cherokee County,Alabama,1019,10606,914,823,1512,1194,1658,1941,1183,75.83,8042,14,42,,,,,,,,,,
11,0500000US01021,Chilton County,Alabama,1021,16751,1575,1288,1809,2201,2219,3104,1862,72.81,12196,31,41,,,,,,,,,,
12,0500000US01023,Choctaw County,Alabama,1023,5350,672,461,909,642,622,728,518,75.4,4034,12,50,,,,,,,,,,
13,0500000US01025,Clarke County,Alabama,1025,9358,1863,676,1041,1021,1266,1321,815,76.81,7188,16,49,,,,,,,,,,
14,0500000US01027,Clay County,Alabama,1027,5236,504,394,578,867,791,874,450,76.55,4008,12,45,,,,,,,,,,
15,0500000US01029,Cleburne County,Alabama,1029,5726,572,414,918,640,805,1108,463,77.84,4457,7,44,,,,,,,,,,
16,0500000US01031,Coffee County,Alabama,1031,19789,1463,1046,1784,2235,2891,3796,2208,66.78,13215,9,33,,,,,,,,,,Hypothesis:
17,0500000US01033,Colbert County,Alabama,1033,21799,1950,1342,3062,2241,2705,4781,2385,73.77,16081,27,39,,,,,,,,,,"US counties that have a population,"
18,0500000US01035,Conecuh County,Alabama,1035,4574,464,539,816,635,701,781,345,86.05,3936,13,54,,,,,,,,,,greater than 50% of residents 
19,0500000US01037,Coosa County,Alabama,1037,4103,255,354,606,614,744,626,411,77.97,3199,3,45,,,,,,,,,,generating a Total Household Income
20,0500000US01039,Covington County,Alabama,1039,15008,1520,952,2107,2055,1957,2637,1696,74.81,11228,29,44,,,,,,,,,,"below $35,000, will result in higher "
21,0500000US01041,Crenshaw County,Alabama,1041,5025,468,529,733,554,685,887,471,76.74,3856,30,45,,,,,,,,,,"death rates due to Covid-19,"
22,0500000US01043,Cullman County,Alabama,1043,30730,2504,1803,4208,3675,5330,5541,3061,75.04,23061,23,40,,,,,,,,,,
23,0500000US01045,Dale County,Alabama,1045,18670,1793,1211,2302,1950,2815,3615,1978,73.3,13686,51,39,,,,,,,,,,
24,0500000US01047,Dallas County,Alabama,1047,16336,2768,1270,2848,2004,2078,2223,1408,80.75,13191,27,54,,,,,,,,,,
25,0500000US01049,DeKalb County,Alabama,1049,26132,2682,1891,3868,3462,3741,4846,2374,78.41,20490,27,46,,,,,,,,,,
26,0500000US01051,Elmore County,Alabama,1051,29143,1843,1168,2875,2735,3669,5460,4243,60.91,17750,52,30,,Less than 25%,,,,,,,,
27,0500000US01053,Escambia County,Alabama,1053,13428,2037,1116,1960,1601,2148,1996,1132,80.86,10858,28,50,,25% - 49%,,,,,,,,
28,0500000US01055,Etowah County,Alabama,1055,38777,2848,2615,5808,4508,5552,6814,4758,72.58,28145,49,41,,Greater than 50%,,,,,,,,
29,0500000US01057,Fayette County,Alabama,1057,6947,677,665,924,1005,969,1281,743,79.47,5521,12,47,,,,,,,,,,
30,0500000US01059,Franklin County,Alabama,1059,11210,835,690,1865,1422,1900,1927,1487,77.07,8639,31,43,,,,,,,,,,
31,0500000US01061,Geneva County,Alabama,1061,10479,1068,857,1860,1067,1607,1678,1167,77.65,8137,7,46,,,,,,,,,,
32,0500000US01063,Greene County,Alabama,1063,2955,671,506,435,329,283,440,137,90.15,2664,16,66,,,,,,,,,,
33,0500000US01065,Hale County,Alabama,1065,5658,926,657,717,683,673,911,459,80.72,4567,29,53,,,,,,,,,,
34,0500000US01067,Henry County,Alabama,1067,6669,519,501,748,770,861,1526,697,73.85,4925,6,38,,,,,,,,,,
35,0500000US01069,Houston County,Alabama,1069,39253,3334,2559,4946,4310,5988,6813,4182,71.2,27950,32,39,,,,,,,,,,
36,0500000US01071,Jackson County,Alabama,1071,20626,2214,1772,2563,2736,3294,3647,1944,78.67,16226,14,45,,,,,,,,,,
37,0500000US01073,Jefferson County,Alabama,1073,260924,21985,15131,28807,27053,33115,44467,30066,65.37,170558,372,36,,,,,,,,,,
38,0500000US01075,Lamar County,Alabama,1075,5974,522,678,776,867,833,1094,416,79.85,4770,5,48,,,,,,,,,,
39,0500000US01077,Lauderdale County,Alabama,1077,38514,2796,2305,4990,4487,6050,6837,4617,71.31,27465,40,38,,,,,,,,,,
40,0500000US01079,Lawrence County,Alabama,1079,12811,1045,823,1685,1459,2117,2261,1227,73.3,9390,30,39,,,,,,,,,,
