,State,County,County_State,Latitude,Longitude,County Code,Deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,NO MASK,YES MASK
0,AL,Autauga County,"Autauga County, AL",32.532237,-86.64644,1001,28.0,0.053,0.07400000000000001,0.134,0.295,0.444,26.1,73.9
1,AL,Baldwin County,"Baldwin County, AL",30.659218,-87.74606700000001,1003,67.0,0.083,0.059000000000000004,0.098,0.32299999999999995,0.436,24.000000000000004,75.89999999999999
2,AL,Barbour County,"Barbour County, AL",31.870253,-85.40510400000001,1005,9.0,0.067,0.121,0.12,0.201,0.491,30.8,69.19999999999999
3,AL,Bibb County,"Bibb County, AL",33.015893,-87.12714799999999,1007,13.0,0.02,0.034,0.096,0.278,0.5720000000000001,15.000000000000002,85.00000000000001
4,AL,Blount County,"Blount County, AL",33.977358,-86.56644,1009,23.0,0.053,0.114,0.18,0.19399999999999998,0.45899999999999996,34.699999999999996,65.3
5,AL,Bullock County,"Bullock County, AL",32.101759,-85.717261,1011,17.0,0.031,0.04,0.14400000000000002,0.28600000000000003,0.5,21.500000000000004,78.60000000000001
6,AL,Butler County,"Butler County, AL",31.751666999999998,-86.681969,1013,40.0,0.102,0.053,0.257,0.13699999999999998,0.451,41.2,58.8
7,AL,Calhoun County,"Calhoun County, AL",33.770516,-85.82790899999999,1015,59.0,0.152,0.10800000000000001,0.13,0.16699999999999998,0.442,39.0,60.9
8,AL,Chambers County,"Chambers County, AL",32.915504,-85.394032,1017,43.0,0.11699999999999999,0.037000000000000005,0.15,0.136,0.56,30.4,69.60000000000001
9,AL,Cherokee County,"Cherokee County, AL",34.069515,-85.65424200000001,1019,14.0,0.135,0.027000000000000003,0.161,0.158,0.52,32.300000000000004,67.80000000000001
10,AL,Chilton County,"Chilton County, AL",32.854051,-86.726607,1021,31.0,0.06,0.07,0.057999999999999996,0.19399999999999998,0.618,18.8,81.19999999999999
11,AL,Choctaw County,"Choctaw County, AL",31.990954,-88.248889,1023,12.0,0.049,0.038,0.126,0.21899999999999997,0.568,21.3,78.69999999999999
12,AL,Clarke County,"Clarke County, AL",31.685521,-87.818624,1025,16.0,0.049,0.08800000000000001,0.16399999999999998,0.268,0.43,30.099999999999998,69.8
13,AL,Clay County,"Clay County, AL",33.2704,-85.863525,1027,12.0,0.14800000000000002,0.158,0.195,0.16899999999999998,0.32899999999999996,50.10000000000001,49.8
14,AL,Cleburne County,"Cleburne County, AL",33.671964,-85.516126,1029,7.0,0.151,0.125,0.138,0.217,0.368,41.400000000000006,58.5
15,AL,Coffee County,"Coffee County, AL",31.402258000000003,-85.989602,1031,9.0,0.10099999999999999,0.152,0.094,0.18600000000000003,0.466,34.699999999999996,65.2
16,AL,Colbert County,"Colbert County, AL",34.703112,-87.801457,1033,27.0,0.08199999999999999,0.096,0.152,0.159,0.51,32.99999999999999,66.9
17,AL,Conecuh County,"Conecuh County, AL",31.430926,-86.988722,1035,13.0,0.099,0.052000000000000005,0.259,0.192,0.39899999999999997,41.0,59.099999999999994
18,AL,Coosa County,"Coosa County, AL",32.931445000000004,-86.243482,1037,3.0,0.055,0.131,0.16699999999999998,0.263,0.384,35.3,64.7
19,AL,Covington County,"Covington County, AL",31.243987,-86.44872099999999,1039,29.0,0.187,0.128,0.129,0.201,0.35600000000000004,44.4,55.7
20,AL,Crenshaw County,"Crenshaw County, AL",31.732826,-86.319222,1041,30.0,0.06,0.091,0.19899999999999998,0.233,0.41600000000000004,35.0,64.9
21,AL,Cullman County,"Cullman County, AL",34.131923,-86.86926700000001,1043,23.0,0.13,0.024,0.249,0.217,0.379,40.300000000000004,59.599999999999994
22,AL,Dale County,"Dale County, AL",31.430653999999997,-85.609476,1045,51.0,0.08900000000000001,0.113,0.11800000000000001,0.22,0.46,32.0,68.0
