YES MASK,Deaths
73.9,28
75.9,67
69.2,9
85,13
65.3,23
78.6,17
58.8,40
60.9,59
69.6,43
67.8,14
81.2,31
78.7,12
69.8,16
49.8,12
58.5,7
65.2,9
66.9,27
59.1,13
64.7,3
55.7,29
64.9,30
59.6,23
68,51
64.6,27
75.9,27
73.7,52
67.2,28
62.3,49
66.2,12
64,31
60.3,7
79,16
83,29
69.6,6
70.1,32
70.9,14
80.7,372
71.6,5
64.8,40
67,30
74.5,66
73.1,27
66.3,27
71.7,19
76.6,92
69.8,21
56,29
73.2,48
75,314
66.6,9
72.5,196
76.3,32
80.5,6
74.1,17
66.3,12
51.2,14
78.3,3
69.5,42
78.5,60
75.9,21
53,34
70.2,86
77.9,132
68.5,92
80.2,12
64.2,12
49.5,13
86.7,0
86.1,0
85.9,41
86.3,0
87.2,0
79,0
87.5,0
64.7,13
77.1,0
75.5,0
74.9,3
85.9,3
65.2,0
86.6,0
87,0
85.8,3
84.4,0
67,0
72.6,0
64.7,13
73.8,0
78.9,0
72.5,0
86,1
86.2,0
78.3,2
85.1,168
77.5,73
81.2,147
88.3,65
60.2,27
63.3,2
74.3,16
89.2,3512
74.9,229
74.1,236
88,634
81.5,216
91.1,65
81.5,87
93.3,353
77.3,11
71.2,12
63.8,7
80.3,110
60.5,29
62.9,8
60.9,59
70.6,12
62.8,22
74.9,4
49.8,12
58.5,7
70.3,12
63.3,19
67.2,3
66.1,36
57.8,25
81.4,51
72.3,21
64.6,27
69.8,7
68.2,7
82.9,29
64,31
54.8,9
80.6,62
74.7,4
79,16
73.3,5
77.6,32
70.5,13
61.9,39
66,1
70.9,14
80.7,372
54.9,7
72,3
67,30
74.5,66
75.5,17
70,35
62.2,2
77.1,23
76.6,92
56,29
70.6,15
72.4,63
66.6,9
72.5,196
72.5,14
66.9,19
69.1,7
80.5,6
75.3,15
66.3,12
68.4,17
52.2,4
58.7,36
66.4,4
81.9,193
51.2,14
61.7,10
73.6,28
58.1,1
68.7,1
58,88
63.2,16
