State,County,County_State,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,Latitude,Longitude,countyFIPS,g
AL,Autauga County,"Autauga County, AL",1539602137,25706961,594.444,9.926,32.532237,-86.64644,1001,1001
AL,Baldwin County,"Baldwin County, AL",4117621645,1132980868,1589.823,437.446,30.659218,-87.746067,1003,1003
AL,Barbour County,"Barbour County, AL",2292160139,50523213,885.008,19.507,31.870253,-85.405104,1005,1005
AL,Bibb County,"Bibb County, AL",1612167476,9602089,622.461,3.707,33.015893,-87.127148,1007,1007
AL,Blount County,"Blount County, AL",1670103866,15015467,644.831,5.798,33.977358,-86.56644,1009,1009
AL,Bullock County,"Bullock County, AL",1613076054,6038093,622.812,2.331,32.101759,-85.717261,1011,1011
AL,Butler County,"Butler County, AL",2012002531,2701198,776.839,1.043,31.751667,-86.681969,1013,1013
AL,Calhoun County,"Calhoun County, AL",1569195268,16587192,605.87,6.404,33.770516,-85.827909,1015,1015
AL,Chambers County,"Chambers County, AL",1545085607,16971700,596.561,6.553,32.915504,-85.394032,1017,1017
AL,Cherokee County,"Cherokee County, AL",1433623319,120308342,553.525,46.451,34.069515,-85.654242,1019,1019
AL,Chilton County,"Chilton County, AL",1794477075,20592142,692.852,7.951,32.854051,-86.726607,1021,1021
AL,Choctaw County,"Choctaw County, AL",2365869841,19144469,913.467,7.392,31.990954,-88.248889,1023,1023
AL,Clarke County,"Clarke County, AL",3207494106,36657891,1238.42,14.154,31.685521,-87.818624,1025,1025
AL,Clay County,"Clay County, AL",1564251834,5285207,603.961,2.041,33.2704,-85.863525,1027,1027
AL,Cleburne County,"Cleburne County, AL",1450663786,2354896,560.104,0.909,33.671964,-85.516126,1029,1029
AL,Coffee County,"Coffee County, AL",1758565919,3907189,678.986,1.509,31.402258,-85.989602,1031,1031
AL,Colbert County,"Colbert County, AL",1535202321,79700278,592.745,30.772,34.703112,-87.801457,1033,1033
AL,Conecuh County,"Conecuh County, AL",2202007855,6632046,850.2,2.561,31.430926,-86.988722,1035,1035
AL,Coosa County,"Coosa County, AL",1685850815,39987271,650.911,15.439,32.931445,-86.243482,1037,1037
AL,Covington County,"Covington County, AL",2669134207,34226200,1030.559,13.215,31.243987,-86.448721,1039,1039
AL,Crenshaw County,"Crenshaw County, AL",1576952799,5388562,608.865,2.081,31.732826,-86.319222,1041,1041
AL,Cullman County,"Cullman County, AL",1902970816,52525039,734.741,20.28,34.131923,-86.869267,1043,1043
AL,Dale County,"Dale County, AL",1453244559,4082940,561.101,1.576,31.430654,-85.609476,1045,1045
AL,Dallas County,"Dallas County, AL",2534919607,39124778,978.738,15.106,32.33354,-87.114356,1047,1047
AL,DeKalb County,"DeKalb County, AL",2012676480,4121543,777.099,1.591,34.460929,-85.803992,1049,1049
AL,Elmore County,"Elmore County, AL",1601768864,99957936,618.446,38.594,32.597229,-86.142735,1051,1051
AL,Escambia County,"Escambia County, AL",2448115116,20504948,945.223,7.917,31.122287,-87.16841,1053,1053
AL,Etowah County,"Etowah County, AL",1385871922,35067763,535.088,13.54,34.047641,-86.034263,1055,1055
AL,Fayette County,"Fayette County, AL",1625693288,4330881,627.684,1.672,33.716157,-87.764292,1057,1057
AL,Franklin County,"Franklin County, AL",1641841404,32643981,633.919,12.604,34.441989,-87.842814,1059,1059
AL,Geneva County,"Geneva County, AL",1487897665,11578163,574.481,4.47,31.092382,-85.821022,1061,1061
AL,Greene County,"Greene County, AL",1675782059,33416141,647.023,12.902,32.844497,-87.9642,1063,1063
AL,Hale County,"Hale County, AL",1667917734,32412739,643.987,12.515,32.752796,-87.623061,1065,1065
AL,Henry County,"Henry County, AL",1454926622,16986823,561.75,6.559,31.516978,-85.239971,1067,1067
AL,Houston County,"Houston County, AL",1501819549,4718092,579.856,1.822,31.158183,-85.296411,1069,1069
